"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","Als de test is geselecteerd de testaccount id (99867-94913159) wordt gebruikt. Anders wordt het geconfigureerde account id wordt gebruikt."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","Als de testmodus is geselecteerd, wordt de testaccount-id gebruikt. Anders wordt de geconfigureerde live account id gebruikt."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Image Brand Selection"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","Bij verborgen bevoegdheid gebruik wordt gemaakt, is het merk van de creditcard gedetecteerd door het kaartnummer en het kaartnummer wordt dienovereenkomstig gevalideerd. Met deze instelling kan de beperking van de toegestane merken."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","In sommige gevallen is de klant schakelt de betaalmethode of selecteer een andere zeer specifiek is. Dit label geeft de effectief."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_SaferpayCw::Inactive","Inactief"
"Customweb_SaferpayCw::Incl. Tax","Incl. belasting"
"Customweb_SaferpayCw::Inform customer by Saferpay","Informeren de klant via Saferpay"
"Customweb_SaferpayCw::Inform the customer","Informeer de klant"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Interne fout bij ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Ongeldige valuta."
"Customweb_SaferpayCw::Invalid Token.","Ongeldig teken."
"Customweb_SaferpayCw::Invalid amount.","Ongeldig bedrag."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Ongeldige credit card gegevens: Controleer uw credit card gegevens."
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","Ongeldige credit card gegevens: De vervaldatum moet worden in de toekomst."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Ongeldige credit card gegevens: Het opgegeven kaartnummer is niet geldig."
"Customweb_SaferpayCw::Invalid login or password.","Invalid login or password."
"Customweb_SaferpayCw::Invalid payment means.","Ongeldige betaling betekent."
"Customweb_SaferpayCw::Invoice Items","Factuur items"
"Customweb_SaferpayCw::Invoice Settlement","Invoice Settlement"
"Customweb_SaferpayCw::Invoice Totals","Factuurtotalen"
"Customweb_SaferpayCw::Invoice settlement","Creatie van de rekening"
"Customweb_SaferpayCw::Invoice was created successfully","Het rekening is gemaakt met goed gevolg"
"Customweb_SaferpayCw::Invoices","Facturen"
"Customweb_SaferpayCw::Issue Number","Albumreeks"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_SaferpayCw::Item","Item"
"Customweb_SaferpayCw::Items","Items"
"Customweb_SaferpayCw::Items Refunded","Items Refunded"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","LLC"
"Customweb_SaferpayCw::Laser Card","Laser Card"
"Customweb_SaferpayCw::Learn More","Meer informatie"
"Customweb_SaferpayCw::Legal form","Rechtsvorm"
"Customweb_SaferpayCw::Legalform","Juridische vorm"
"Customweb_SaferpayCw::Liability Shift Behavior","Gedrag van de liability shift"
"Customweb_SaferpayCw::Live API password","Live API password"
"Customweb_SaferpayCw::Live Customer ID","Live klant-ID"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Live JSON API wachtwoord"
"Customweb_SaferpayCw::Live JSON Username","Live JSON Gebruikersnaam"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Live Mode"
"Customweb_SaferpayCw::Live Password","Live Password"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","Live Terminal ID"
"Customweb_SaferpayCw::Live account ID","Live account ID"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Register"
"Customweb_SaferpayCw::Login and password are required.","Login and password are required."
"Customweb_SaferpayCw::Ltd.","Ltd."
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Postorder / telefonische bestellingen machtiging"
"Customweb_SaferpayCw::Male","Mannelijk"
"Customweb_SaferpayCw::Manage Stores","Beheer winkels"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Manage Saferpay Aliases"
"Customweb_SaferpayCw::Mandate text","Mandaat tekst"
"Customweb_SaferpayCw::Mandatory","Verplicht"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Markeer transacties zonder liability shift als onveilig"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: Bevestiging van de bestelling"
"Customweb_SaferpayCw::Mastercard","Mastercard"
"Customweb_SaferpayCw::Maximum Order Total","Maximum Bestel Total"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","Merchant IBAN (Mandate)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Handelsnaam (Mandate)"
"Customweb_SaferpayCw::Merchant email","Merchant email"
"Customweb_SaferpayCw::Message","Bericht"
"Customweb_SaferpayCw::Method Title","Method Title"
"Customweb_SaferpayCw::Minimum Order Total","Minimum Bestel Total"
"Customweb_SaferpayCw::Minimum order price !price","Minimum order price !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Ontbrekende permissies voor deze actie."
"Customweb_SaferpayCw::Month","Maand"
"Customweb_SaferpayCw::My Saferpay Aliases","My Saferpay Aliases"
"Customweb_SaferpayCw::New Order","New Order"
"Customweb_SaferpayCw::New Order Status","Niewe bestelstatus"
"Customweb_SaferpayCw::New card","New card"
"Customweb_SaferpayCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_SaferpayCw::No","Geen"
"Customweb_SaferpayCw::No CVC provided.","Geen CVC ontvangen."
"Customweb_SaferpayCw::No IBAN provided.","Geen IBAN verstrekt."
"Customweb_SaferpayCw::No Items","No Items"
"Customweb_SaferpayCw::No additional payment information available.","Geen extra betaling informatie beschikbaar"
"Customweb_SaferpayCw::No address is sent","Adres niet verzenden"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"Customweb_SaferpayCw::No billing address was returned.","Er werd geen factuuradres geretourneerd."
"Customweb_SaferpayCw::No button returned.","Geen knop terug."
"Customweb_SaferpayCw::No date of birth provided.","Geen geboortedatum vermeld."
"Customweb_SaferpayCw::No delivery address was returned.","Er werd geen leveringsadres teruggestuurd."
"Customweb_SaferpayCw::No gender provided.","Geen geslacht voorzien."
"Customweb_SaferpayCw::No legal form provided.","Er is geen wettelijke vorm voorzien."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","Geen methode wrapper gevonden voor betaalmethode '!method'."
"Customweb_SaferpayCw::No redirect url or token received.","Geen doorverwijzing url of token ontvangen."
"Customweb_SaferpayCw::No refund possible.","Geen terugbetaling mogelijk"
"Customweb_SaferpayCw::No shipping method needed.","No shipping method needed."
"Customweb_SaferpayCw::No theme","Geen thema"
"Customweb_SaferpayCw::No, use the dropdown.","No, use the dropdown."
"Customweb_SaferpayCw::None","Geen"
"Customweb_SaferpayCw::Normal mode","Normale modus"
"Customweb_SaferpayCw::Not an alias transaction","Geen alias transactie"
"Customweb_SaferpayCw::Not supported","Niet ondersteund"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Customweb_SaferpayCw::Only delivery address is sent","Alleen het afleveradres wordt verzonden"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_SaferpayCw::Operation Mode","Werkingsmodus"
"Customweb_SaferpayCw::Order #","Order #"
"Customweb_SaferpayCw::Order Grand Total","Bestel Grand Total"
"Customweb_SaferpayCw::Order Information","Order Information"
"Customweb_SaferpayCw::Order Prefix","Bestel Prefix"
"Customweb_SaferpayCw::Order Review","Order Review"
"Customweb_SaferpayCw::Order Summary","Order Summary"
"Customweb_SaferpayCw::Order Total","Order Total"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","De bestelling is geannuleerd omdat de klant was te lang gevestigd in het betalingsproces van Saferpay."
"Customweb_SaferpayCw::Order prefix","Order prefix"
"Customweb_SaferpayCw::Order was placed using %s","Order was placed using %s"
"Customweb_SaferpayCw::Orders","Orders"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellingen waarvan de betaling is in behandeling langer dan de gedefinieerde time-out in minuten automatisch geannuleerd. Om deze functie moet je setup Magento cron gebruiken."
"Customweb_SaferpayCw::Other","Andere"
"Customweb_SaferpayCw::Paid Amount","Betaalde bedrag"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Gedeeltelijke terugbetaling is niet mogelijk. Het bedrag hoger is dan het totale bedrag."
"Customweb_SaferpayCw::Password","Password"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Payment"
"Customweb_SaferpayCw::Payment Details","Betalingsgegevens"
"Customweb_SaferpayCw::Payment ID","Betaling ID"
"Customweb_SaferpayCw::Payment Id","Betaling ID"
"Customweb_SaferpayCw::Payment Information","Informatie over betaling"
"Customweb_SaferpayCw::Payment Method","Betalingsmethode"
"Customweb_SaferpayCw::Payment Method Name","Betaalmethode Naam"
"Customweb_SaferpayCw::Payment Note","Payment Note"
"Customweb_SaferpayCw::Payment Page CSS URL","Betalingspagina CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Configuratie naam van de betaalpagina"
"Customweb_SaferpayCw::Payment Page Theme","Betalingspagina Thema"
"Customweb_SaferpayCw::Payment Reason","Reden van betaling"
"Customweb_SaferpayCw::Payment captured successfully.","Betaling succes gevangen"
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","De betaling is niet geatoriseerde. De bestelling wordt geannuleerd. Reden:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","Betaling informatie kan worden ingevoerd na het plaatsen van de bestelling"
"Customweb_SaferpayCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_SaferpayCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_SaferpayCw::Payment from applicable countries","Betaling van de toepasselijke landen"
"Customweb_SaferpayCw::Payment from specific countries","Betaling van specifieke landen"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Betaling in behandeling bij SaferpayCw"
"Customweb_SaferpayCw::Payment method description","Beschrijving van de betaalmethode"
"Customweb_SaferpayCw::Payment method not available.","Betaalmethode niet beschikbaar."
"Customweb_SaferpayCw::Payment note","Payment note"
"Customweb_SaferpayCw::Payment period extension","Verlenging loonperiode"
"Customweb_SaferpayCw::Payment with %s","Payment with %s"
"Customweb_SaferpayCw::Payment with Saferpay","Betalen met Saferpay"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Betalingen kunnen automatisch worden bijgewerkt (in minuten) via API (indien ingeschakeld). Om de functie te gebruiken, moet de Magento Cron worden ingeschakeld."
"Customweb_SaferpayCw::Pending","Pending"
"Customweb_SaferpayCw::Pending SaferpayCw","Pending SaferpayCw"
"Customweb_SaferpayCw::Place Order","Place Order"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_SaferpayCw::Please check the entered CVC number.","Controleer de ingevoerde CVC nummer."
"Customweb_SaferpayCw::Please check the entered credit card number.","Controleer de ingevoerde creditcardnummer."
"Customweb_SaferpayCw::Please check your card details.","Controleer uw kaartgegevens."
"Customweb_SaferpayCw::Please check your payment details.","Controleer uw betalingsgegevens."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Kies de rechtsvorm van uw bedrijf."
"Customweb_SaferpayCw::Please choose your gender","Kies uw geslacht"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Vul hier de Bank Identifier Code (BIC)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Voer hier het CVC uw kaart in te voeren. U kunt dit vinden op de achterkant van uw creditcard."
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Voer hier het International Bank Account Number (IBAN)."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Vul hier de naam rekeninghouder op de kaart."
"Customweb_SaferpayCw::Please enter here the account holder name.","Vul hier de naam van de rekeninghouder."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Vul het rekeningnummer van uw bankrekening in te voeren"
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Vul hier de bankcode van uw bank in te voeren"
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Geef de kaarthouder een"
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Vul hier het commerciële nummer van uw bedrijf."
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Vul de naam van de rekeninghouder in te voeren"
"Customweb_SaferpayCw::Please enter here the number on your card.","Vul het kaartnummer van uw creditcard in te voeren"
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Vul hier de omzetbelasting nummer van uw bedrijf."
"Customweb_SaferpayCw::Please enter here your social security number.","Vul hier uw sofi-nummer."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Voer de crediteuridentificatiecode in die u van de Bundesbank kunt ontvangen (zie http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)."
"Customweb_SaferpayCw::Please enter the location of your bank.","Vul de locatie van uw bank."
"Customweb_SaferpayCw::Please enter the name of your bank.","Vul de naam van uw bank."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","Als de bestelling is voor uw bedrijf, vul de naam van uw bedrijf ingeven."
"Customweb_SaferpayCw::Please enter your IBAN number.","Gelieve uw IBAN-nummer."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Vul uw probleem nummer als er geen CVC code op uw kaart."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Gelieve knipperen of de opslag cache uit te schakelen en probeer het opnieuw. Als dit niet helpt, moet u de machtiging methode om Payment Page en contact <a href=""%s"" target=""_blank"">sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Please log in below:"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Houd er rekening mee dat uw factuur wordt betaald wanneer het bedrag met succes op de hierboven genoemde rekening is aangekomen."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Please read and confirm our terms and conditions!"
"Customweb_SaferpayCw::Please select","Selecteer aub"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Selecteer de Bank Identifier Code (BIC) van uw bank."
"Customweb_SaferpayCw::Please select the day of your birth.","Kies de dag van je geboorte."
"Customweb_SaferpayCw::Please select the day on which you were born.","Selecteer de dag waarop je geboren bent"
"Customweb_SaferpayCw::Please select the expiry month on your card.","Selecteer de mot van vervaldatum op uw kaart."
"Customweb_SaferpayCw::Please select the expiry year on your card.","Vul datum van de kaart de vervaldatum in te voeren"
"Customweb_SaferpayCw::Please select the month in which you were born.","Selecteer het maand waarin je geboren bent"
"Customweb_SaferpayCw::Please select the month of your birth.","Kies de maand van je geboorte."
"Customweb_SaferpayCw::Please select the the year of your birth.","Selecteer het het jaar van uw geboorte."
"Customweb_SaferpayCw::Please select the year in which you were born.","Selecteer het jaar waarin je geboren bent"
"Customweb_SaferpayCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Ontdekt mogelijke fraude. Parameters die uit SaferpayCw werden gestuurd waren ingevuld."
"Customweb_SaferpayCw::Price","Prijs"
"Customweb_SaferpayCw::Product","Product"
"Customweb_SaferpayCw::Product Name","Product Name"
"Customweb_SaferpayCw::Purchase Point","Purchase Point"
"Customweb_SaferpayCw::Qty","Hoeveelheid"
"Customweb_SaferpayCw::Received malformed response.","Misvormd antwoord ontvangen."
"Customweb_SaferpayCw::Received unknown refund state: !state","Onbekende teruggaafstaat ontvangen: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Ontvangen onbekende transactiestaat: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Received unkown refund state: !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Received unkown transaction state: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Verkeerd transactietype ontvangen: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Verkeerd type ontvangen: !type"
"Customweb_SaferpayCw::Recurring Payments","Recurring Payments"
"Customweb_SaferpayCw::Reference: @reference","Referentie: @reference"
"Customweb_SaferpayCw::Refund Amount","Terug te betalen bedrag"
"Customweb_SaferpayCw::Refund ID","Refund ID"
"Customweb_SaferpayCw::Refund amount","Terug te betalen bedrag"
"Customweb_SaferpayCw::Refund information","Informatie van de terugbetaling"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Terugbetaling van !amount is mislukt omdat er geen kaart verwijzing id werd verstrekt. Dit waarschijnlijk omdat u een transactie geautoriseerd op de betaalpagina (Payment Page) terugbetalen. (Code: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Vergoeding van !amount mislukt met code: !result."
"Customweb_SaferpayCw::Refund status","Status van de restitutie"
"Customweb_SaferpayCw::Refunded Amount","Bedrag gecrediteerd"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Terugbetaling Transaction '!transactionId'"
"Customweb_SaferpayCw::Refunds","Refunds"
"Customweb_SaferpayCw::Register","Register"
"Customweb_SaferpayCw::Register to Create an Account","Register to Create an Account"
"Customweb_SaferpayCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_SaferpayCw::Release Date","Release Date"
"Customweb_SaferpayCw::Request Validation failed.","Validatieverzoek mislukt."
"Customweb_SaferpayCw::Review","Review"
"Customweb_SaferpayCw::Rounding Adjustment","Rounding Adjustment"
"Customweb_SaferpayCw::Row Total","Rijtotaal"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_SaferpayCw::SKU","SKU"
"Customweb_SaferpayCw::SKU:","SKU:"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Sales"
"Customweb_SaferpayCw::Sales Tax Number","Sales Tax nummer"
"Customweb_SaferpayCw::Save","Bewaren"
"Customweb_SaferpayCw::Saved cards:","Opgeslagen kaarten:"
"Customweb_SaferpayCw::See order and shipping status","See order and shipping status"
"Customweb_SaferpayCw::Select Brand","Kies een Merk"
"Customweb_SaferpayCw::Select Method","Select Method"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Customweb_SaferpayCw::Select the date of your birth.","Kies de datum van uw geboorte."
"Customweb_SaferpayCw::Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Customweb_SaferpayCw::Select your companys legal form.","Selecteer de rechtsvorm van uw bedrijf."
"Customweb_SaferpayCw::Select your date of birth.","Selecteer uw geboortedatum"
"Customweb_SaferpayCw::Select your gender.","Selecteer uw geslacht"
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed In de wacht"
"Customweb_SaferpayCw::Send Invoice Email","Send Invoice Email"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Send amounts to Saferpay in base currency."
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Send amounts to Saferpay in store's base currency."
"Customweb_SaferpayCw::Send invoice email","Send invoice email"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_SaferpayCw::Server responded '!response'","Server antwoordde '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Server reageerde met onverwachte headers '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","Sessie uit getimed, probeer het alstublieft opnieuw."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Voor 'Directe Boeking' het bedrag wordt direct in mindering gebracht na betaling voltooid. Voor 'Vertraagde boeking' het bedrag wordt gedebiteerd pas na een bepaalde periode van je."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_SaferpayCw::Settlement after order","Creatie na de bestelling"
"Customweb_SaferpayCw::Shipping & Handling","Shipping & Handling"
"Customweb_SaferpayCw::Shipping Address","Shipping Address"
"Customweb_SaferpayCw::Shipping Amount","Verzending bedrag"
"Customweb_SaferpayCw::Shipping Information","Verzend Informatie"
"Customweb_SaferpayCw::Shipping Method","Shipping Method"
"Customweb_SaferpayCw::Shipping Methods","Shipping Methods"
"Customweb_SaferpayCw::Shipping Refund","Verzending terugbetaling"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","Verzendadres van deze transactie en eerste alias transactie komen niet overeen."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","Moet Saferpay een veld met de naam van de kaarthouder op hun pagina weergeven?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Mocht Saferpay een bevestigingsmail naar de klant sturen. (Alleen beschikbaar als de klant wordt doorgestuurd naar Saferpay.)"
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Mocht het bedrag automatisch worden vastgelegd na de bestelling (direct) of moet de vergoeding alleen worden gereserveerd (uitgestelde)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","Indien het factuuradres wordt verzonden naar Saferpay?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Door het verzenden van het factuuradres zal worden getoond aan de klant weer op de betaalpagina."
"Customweb_SaferpayCw::Show","Show"
"Customweb_SaferpayCw::Show Account Selection","Show Account Selection"
"Customweb_SaferpayCw::Show Further Settings and Information","Toon meer instellingen en informatie"
"Customweb_SaferpayCw::Show Image","Show Image"
"Customweb_SaferpayCw::Show Payment Id","Show Payment Id"
"Customweb_SaferpayCw::Show the payment id","Show the payment id"
"Customweb_SaferpayCw::Show the payment id in the order information","Show the payment id in the order information"
"Customweb_SaferpayCw::Show the payment image","Show the payment image"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_SaferpayCw::Sign In","Sign In"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Social Security Number"
"Customweb_SaferpayCw::Sort Order","Schik de orde"
"Customweb_SaferpayCw::Status","Status"
"Customweb_SaferpayCw::Store the payment details","Store the payment details"
"Customweb_SaferpayCw::Stored payment details","Stored payment details"
"Customweb_SaferpayCw::Submit Order","Submit Order"
"Customweb_SaferpayCw::Submitting order information...","Submitting order information..."
"Customweb_SaferpayCw::Subtotal","Subtotaal"
"Customweb_SaferpayCw::Success","Succes"
"Customweb_SaferpayCw::Successful","Met goed gevolg"
"Customweb_SaferpayCw::Successful online refund of amount","Succesvolle online teruggaaf van bedragen"
"Customweb_SaferpayCw::Successful payment authorization.","Succesvolle machtiging."
"Customweb_SaferpayCw::Successfull online refund of amount","Het bedrag werd met succes terugbetaald."
"Customweb_SaferpayCw::Support","Support"
"Customweb_SaferpayCw::Tax Amount","Belastingbedrag"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Technical error, please contact merchant."
"Customweb_SaferpayCw::Technical error, please try again.","Technische fout, probeer het opnieuw."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Technisch probleem: Deze betaalmethode is momenteel niet beschikbaar."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Technisch probleem, neem contact op met de verkoper."
"Customweb_SaferpayCw::Test API password","Test API password"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Test klant-ID"
"Customweb_SaferpayCw::Test JSON API Password","Test JSON API-wachtwoord"
"Customweb_SaferpayCw::Test JSON Username","Test JSON Gebruikersnaam"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Test MoTo Terminal ID"
